origin_position_11,destination_position_11,n_passes,window,pattern_name
LW,LB,1,to_40,interior_exterior_same_side
LB,CF,1,to_40,interior_exterior_opposite_side
LW,CM,1,to_40,interior_exterior_same_side
RCB,DM,1,to_40,other_pattern
DM,RB,1,to_40,other_pattern
LB,CM,1,to_40,interior_exterior_same_side
RB,CM,1,to_40,interior_exterior_same_side
LCB,CM,1,to_40,interior_exterior_opposite_side
CM,DM,1,to_40,interior_exterior_opposite_side
RB,CM,1,to_40,interior_exterior_opposite_side
CM,RB,1,to_40,interior_exterior_opposite_side
RB,CM,1,to_40,center_exit_pattern
CM,DM,1,to_40,center_exit_pattern
LW,RB,1,to_40,interior_exterior_opposite_side
CM,RB,1,to_40,interior_exterior_same_side
LCB,CM,1,to_40,interior_exterior_same_side
CM,CF,1,to_40,interior_exterior_same_side
RW,RCB,1,to_40,switch_of_play
DM,AM,1,to_40,interior_exterior_opposite_side
RB,GK,1,to_40,interior_exterior_same_side
LCB,RW,1,to_40,interior_exterior_same_side
LCB,CF,1,to_40,interior_exterior_same_side
CF,LCB,1,to_40,interior_exterior_same_side
AM,RCB,1,to_40,interior_exterior_same_side
DM,LCB,1,to_40,center_exit_pattern
GK,LW,1,to_40,outer_inner_exit
RB,GK,1,to_40,switch_of_play
LB,DM,1,to_40,interior_exterior_opposite_side
LB,AM,1,to_40,switch_of_play
LCB,RW,1,to_40,switch_of_play
RW,RCB,1,to_40,interior_exterior_same_side
GK,LB,1,to_40,interior_exterior_opposite_side
LCB,CM,1,to_40,outer_inner_exit
CM,CM,1,to_40,outer_inner_exit
RB,RW,1,to_40,other_pattern
RCB,CM,1,to_40,center_exit_pattern
CM,LW,1,to_40,center_exit_pattern
LW,CF,1,to_40,center_exit_pattern
CF,LB,1,to_40,center_exit_pattern
GK,LCB,68,to_60,interior_exterior_same_side
LCB,LB,40,to_60,interior_exterior_same_side
GK,RCB,40,to_60,interior_exterior_same_side
LCB,GK,31,to_60,interior_exterior_same_side
GK,LCB,30,to_60,interior_exterior_opposite_side
RCB,GK,27,to_60,interior_exterior_same_side
RCB,RB,25,to_60,interior_exterior_same_side
GK,LCB,23,to_60,switch_of_play
GK,RCB,23,to_60,switch_of_play
GK,RCB,22,to_60,interior_exterior_opposite_side
LCB,DM,22,to_60,interior_exterior_same_side
LCB,LB,21,to_60,switch_of_play
LCB,GK,18,to_60,switch_of_play
RCB,RB,18,to_60,switch_of_play
LCB,RCB,17,to_60,interior_exterior_opposite_side
RCB,LCB,17,to_60,switch_of_play
GK,LCB,15,to_60,center_exit_pattern
LB,LW,15,to_60,interior_exterior_same_side
RB,RW,15,to_60,interior_exterior_same_side
LCB,GK,15,to_60,other_pattern
LCB,DM,14,to_60,switch_of_play
LCB,RCB,14,to_60,interior_exterior_same_side
